   band   n      mid n_weak          p       odds    logodds lab
1 45-49 752 47.07048     26 0.03457447 0.03581267 -3.3294535  3%
2 50-54 650 52.03231     41 0.06307692 0.06732348 -2.6982462  6%
3 55-59 611 57.04419     59 0.09656301 0.10688406 -2.2360106 10%
4 60-64 594 61.95960    102 0.17171717 0.20731707 -1.5735059 17%
5 65-69 647 66.99845    169 0.26120556 0.35355649 -1.0397120 26%
6 70-74 489 71.69121    210 0.42944785 0.75268817 -0.2841043 43%
7 75-79 264 76.73485    139 0.52651515 1.11200000  0.1061602 53%
8 80-84 134 81.71642     83 0.61940299 1.62745098  0.4870150 62%
9   85+  43 86.69767     34 0.79069767 3.77777778  1.3291359 79%
